ip,true_label
10.57.12.190,0
10.119.51.98,0
10.24.56.40,0
10.239.27.173,0
10.68.135.30,0
10.38.76.140,0
10.121.83.250,0
10.90.237.13,0
10.172.194.72,0
10.169.180.180,0
10.240.149.9,0
10.89.240.133,0
10.242.195.99,0
10.49.20.80,0
10.89.135.14,0
10.150.232.130,0
10.226.217.125,0
10.226.155.204,0
10.197.145.65,0
10.2.40.5,0
10.22.180.140,0
10.218.85.177,0
10.71.121.203,0
10.232.37.177,0
10.72.49.13,0
10.73.101.155,0
10.250.162.123,0
10.90.18.215,0
10.113.112.246,0
10.228.28.117,0
10.68.178.31,0
10.22.205.113,0
10.211.213.143,0
10.17.38.242,0
10.199.162.93,0
10.86.194.44,0
10.164.102.123,0
10.132.113.131,0
10.251.212.182,0
10.140.47.168,0
10.43.127.142,0
10.52.59.59,0
10.167.75.24,0
10.183.14.181,0
10.163.133.244,0
10.144.152.61,0
10.198.94.95,0
10.54.51.202,0
10.14.88.50,0
10.27.36.121,0
10.191.7.229,0
10.4.154.108,0
10.114.173.133,0
10.100.96.31,0
10.20.219.72,0
10.44.37.14,0
10.200.151.246,0
10.76.187.101,0
10.89.192.168,0
10.135.85.186,0
10.189.40.156,0
10.86.18.93,0
10.14.246.30,0
10.140.251.47,0
10.202.138.228,0
10.240.4.177,0
10.235.48.134,0
10.66.91.224,0
10.106.251.238,0
10.113.78.13,0
10.45.95.51,0
10.118.118.176,0
10.115.16.105,0
10.142.106.13,0
10.211.107.179,0
10.103.144.66,0
10.145.125.44,0
10.238.67.24,0
10.71.96.143,0
10.232.240.147,0
10.145.128.50,0
10.38.232.237,0
10.35.115.1,0
10.66.7.45,0
10.26.90.41,0
10.41.171.189,0
10.58.244.189,0
10.57.245.231,0
10.42.228.174,0
10.184.214.163,0
10.57.39.5,0
10.232.55.32,0
10.199.249.196,0
10.182.210.90,0
10.10.240.151,0
10.153.186.249,0
10.248.223.109,0
10.211.170.184,0
10.253.195.34,0
10.135.160.112,0
10.2.92.107,0
10.22.231.84,0
10.87.244.118,0
10.120.107.143,0
10.181.23.198,0
10.206.228.165,0
10.24.63.115,0
10.108.233.122,0
10.215.24.240,0
10.243.9.31,0
10.45.202.179,0
10.88.211.143,0
10.245.221.207,0
10.224.48.161,0
10.74.29.61,0
10.97.98.137,0
10.230.239.111,0
10.4.255.208,0
10.22.122.227,0
10.87.128.246,0
10.219.124.159,0
10.124.105.139,0
10.88.104.61,0
10.75.133.155,0
10.120.244.125,0
10.251.46.204,0
10.4.185.186,0
10.73.104.19,0
10.63.207.4,0
10.101.245.246,0
10.141.107.150,0
10.233.132.78,0
10.212.72.1,0
10.1.76.200,0
10.88.82.3,0
10.200.182.250,0
10.67.173.75,0
10.53.148.97,0
10.194.31.240,0
10.215.108.58,0
10.152.5.232,0
10.204.98.65,0
10.15.58.47,0
10.247.115.24,0
10.8.235.48,0
10.51.112.188,0
10.0.25.65,0
10.213.102.78,0
10.104.73.144,0
10.81.118.25,0
10.30.71.53,0
10.154.187.200,0
10.202.19.158,0
10.22.120.90,0
10.108.160.131,0
10.42.77.230,0
10.218.146.83,0
10.171.141.117,0
10.113.85.138,0
10.248.21.41,0
10.55.231.58,0
10.242.5.82,0
10.154.60.62,0
10.8.170.215,0
10.193.17.83,0
10.255.96.12,0
10.230.190.200,0
10.98.133.78,0
10.142.163.198,0
10.125.227.254,0
10.57.86.94,0
10.247.194.4,0
10.163.240.127,0
10.137.117.239,0
10.249.127.72,0
10.10.205.148,0
10.25.228.113,0
10.56.83.8,0
10.17.121.42,0
10.77.217.220,0
10.77.105.114,0
10.149.115.134,0
10.222.136.27,0
10.20.125.141,0
10.189.186.231,0
10.251.220.181,0
10.199.229.242,0
10.102.144.83,0
10.222.91.131,0
10.93.167.43,0
10.153.73.11,0
10.49.33.22,0
10.161.228.122,0
10.253.8.160,0
10.164.98.122,0
10.110.213.126,0
10.242.32.5,0
10.215.40.95,0
10.115.245.11,0
10.102.18.54,0
45.237.27.166,1
45.61.154.37,1
45.221.238.106,1
45.146.186.23,1
45.202.41.211,1
45.73.36.178,1
45.21.251.251,1
45.243.129.140,1
45.65.14.240,1
45.227.59.26,1
198.134.183.122,1
198.245.208.166,1
198.141.215.51,1
198.157.222.149,1
198.85.34.60,1
198.56.127.42,1
198.235.177.160,1
198.142.125.58,1
198.120.249.226,1
198.123.236.39,1
203.237.118.237,1
203.26.254.254,1
203.62.1.245,1
203.9.44.254,1
203.247.34.250,1
203.150.19.220,1
203.70.51.93,1
203.152.152.26,1
203.8.240.56,1
203.61.127.34,1
